expiry,type,strike,IV(%),mid,fair_value,r_used
2025-08-18,C,500.0,161.62,143.195,143.9754,0.04112
2025-08-18,C,550.0,109.72,93.205,94.0502,0.04112
2025-08-18,C,585.0,74.17,58.265,59.1318,0.04112
2025-08-18,C,590.0,69.14,53.225,54.1487,0.04112
2025-08-18,C,595.0,62.62,48.29,49.1052,0.04112
2025-08-18,C,600.0,58.77,43.48,44.183,0.04112
2025-08-18,C,605.0,52.61,38.32,39.1568,0.04112
2025-08-18,C,608.0,48.88,35.26,36.1384,0.04112
2025-08-18,C,609.0,47.83,34.26,35.1428,0.04112
2025-08-18,C,610.0,46.78,33.26,34.1471,0.04112
2025-08-18,C,613.0,44.79,30.39,31.2336,0.04112
2025-08-18,C,614.0,43.16,29.33,30.2044,0.04112
2025-08-18,C,615.0,41.55,28.27,29.1759,0.04112
2025-08-18,C,617.0,39.4,26.27,27.1874,0.04112
2025-08-18,C,618.0,39.66,25.46,26.2856,0.04112
2025-08-18,C,619.0,37.82,24.34,25.2388,0.04112
2025-08-18,C,620.0,36.71,23.34,24.2461,0.04112
2025-08-18,C,621.0,36.23,22.42,23.3003,0.04112
2025-08-18,C,622.0,35.25,21.555,22.3177,0.04112
2025-08-18,C,623.0,31.1,20.56,21.099,0.04112
2025-08-18,C,624.0,29.42,19.49,20.0643,0.04112
2025-08-18,C,625.0,23.66,17.99,18.7975,0.04112
2025-08-18,C,626.0,30.79,17.97,18.3648,0.04112
2025-08-18,C,627.0,0.0,16.3,16.4458,0.04112
2025-08-18,C,628.0,0.0,15.305,15.446,0.04112
2025-08-18,C,629.0,0.0,14.31,14.4463,0.04112
2025-08-18,C,630.0,0.0,13.34,13.4465,0.04112
2025-08-18,C,631.0,6.25,12.355,12.5822,0.04112
2025-08-18,C,632.0,8.01,11.37,11.5835,0.04112
2025-08-18,C,633.0,8.89,10.395,10.5904,0.04112
2025-08-18,C,634.0,8.11,9.4,9.5905,0.04112
2025-08-18,C,635.0,8.89,8.46,8.6148,0.04112
2025-08-18,C,636.0,8.74,7.515,7.6374,0.04112
2025-08-18,C,637.0,8.57,6.575,6.6731,0.04112
2025-08-18,C,638.0,8.35,5.66,5.7258,0.04112
2025-08-18,C,639.0,8.12,4.81,4.805,0.04112
2025-08-18,C,640.0,7.58,3.935,3.8873,0.04112
2025-08-18,C,641.0,7.06,3.11,3.0093,0.04112
2025-08-18,C,642.0,7.24,2.42,2.3093,0.04112
2025-08-18,C,643.0,6.62,1.76,1.5715,0.04112
2025-08-18,C,644.0,6.54,1.255,1.0476,0.04112
2025-08-18,C,645.0,6.45,0.835,0.6461,0.04112
2025-08-18,C,646.0,6.3,0.525,0.3597,0.04112
2025-08-18,C,647.0,6.39,0.33,0.2013,0.04112
2025-08-18,C,648.0,6.37,0.195,0.0997,0.04112
2025-08-18,C,649.0,6.47,0.115,0.0498,0.04112
2025-08-18,C,650.0,6.57,0.065,0.0238,0.04112
2025-08-18,C,651.0,6.93,0.045,0.0147,0.04112
2025-08-18,C,652.0,7.08,0.025,0.0072,0.04112
2025-08-18,C,653.0,7.33,0.015,0.0039,0.04112
2025-08-18,C,654.0,8.45,0.025,0.0065,0.04112
